Window_Size,N_Peaks,Overlap,Hash_Use_First_Appearance,Quantile,Average_F_Score,Average_Precision,Average_Sharpness,avg(Family_Members/Match_Count),Average_Hash_Intersection_Size,Runtime_match-family
50,3,0,True,.1,0.0025076,0.00124367,0.223454,0.00276792,8.22017,00:17
50,3,0,False,.1,0.0025076,0.00124367,0.223454,0.00276792,8.22017,00:15
50,3,13,True,.1,0.00168726,0.000802107,0.243318,0.00198339,11.3133,00:21
50,3,13,False,.1,0.00168726,0.000802107,0.243318,0.00198339,11.3133,00:16
50,3,25,False,.1,0.0016508,0.000775775,0.27047,0.00196533,17.0494,00:26
50,3,25,True,.1,0.0016508,0.000775775,0.27047,0.00196533,17.0494,00:19
40,3,0,False,.1,0.0015475,0.000708933,0.251096,0.00189857,10.8973,00:17
40,3,0,True,.1,0.0015475,0.000708933,0.251096,0.00189857,10.8973,00:16
50,3,0,True,.2,0.00152927,0.000668422,0.343429,0.00159783,29.8795,00:15
50,3,0,False,.2,0.00152927,0.000668422,0.343429,0.00159783,29.8795,00:15
50,5,0,True,.1,0.00148066,0.000674499,0.289753,0.00179443,21.2368,00:18
50,5,0,False,.1,0.00148066,0.000674499,0.289753,0.00179443,21.2368,00:19
40,3,10,False,.1,0.00128418,0.00058335,0.273917,0.00150529,14.6149,00:17
40,3,10,True,.1,0.00128418,0.00058335,0.273917,0.00150529,14.6149,00:16
50,3,13,False,.2,0.00119708,0.000510431,0.372909,0.00121678,38.7312,00:19
50,3,13,True,.2,0.00119708,0.000510431,0.372909,0.00121678,38.7312,00:18
50,3,0,False,.3,0.00118898,0.000534738,0.400411,0.00124316,60.1744,00:19
50,3,0,True,.3,0.00118898,0.000534738,0.400411,0.00124316,60.1744,00:22
50,5,13,False,.1,0.00116265,0.000451691,0.313824,0.00128952,29.441,00:21
50,5,13,True,.1,0.00116265,0.000451691,0.313824,0.00128952,29.441,00:20
30,3,8,False,.1,0.00106542,0.000463844,0.308821,0.00133842,19.5872,00:19
30,3,8,True,.1,0.00106542,0.000463844,0.308821,0.00133842,19.5872,00:19
40,3,20,False,.1,0.00103302,0.000417257,0.312263,0.00117594,22.6388,00:24
40,3,20,True,.1,0.00103302,0.000417257,0.312263,0.00117594,22.6388,00:19
30,3,0,False,.1,0.00099048,0.000415232,0.284002,0.00120776,14.3832,00:22
30,3,0,True,.1,0.00099048,0.000415232,0.284002,0.00120776,14.3832,00:30
50,3,38,False,.1,0.000988455,0.000401053,0.33938,0.00111583,36.8501,00:23
50,3,38,True,.1,0.000988455,0.000401053,0.33938,0.00111583,36.8501,00:24
40,5,0,True,.1,0.00094997,0.000364594,0.304697,0.00111923,23.0059,00:18
40,5,0,False,.1,0.00094997,0.000364594,0.304697,0.00111923,23.0059,00:17
50,5,0,False,.2,0.000945919,0.000409155,0.383298,0.00108185,60.3178,00:22
50,5,0,True,.2,0.000945919,0.000409155,0.383298,0.00108185,60.3178,00:21
50,5,25,True,.1,0.000937816,0.000397002,0.351845,0.00109332,46.4537,00:22
50,5,25,False,.1,0.000937816,0.000397002,0.351845,0.00109332,46.4537,00:23
50,3,25,False,.2,0.000929714,0.000411181,0.409174,0.00102132,55.2617,00:34
50,3,25,True,.2,0.000929714,0.000411181,0.409174,0.00102132,55.2617,00:20
40,3,0,True,.2,0.000917561,0.000366619,0.366362,0.0010247,35.3498,00:26
40,3,0,False,.2,0.000917561,0.000366619,0.366362,0.0010247,35.3498,00:23
50,3,13,True,.3,0.000864898,0.000338262,0.434011,0.000865016,83.0731,00:23
50,3,13,False,.3,0.000864898,0.000338262,0.434011,0.000865016,83.0731,00:23
40,5,10,True,.1,0.000820336,0.000374721,0.335777,0.00100483,31.157,00:19
40,5,10,False,.1,0.000820336,0.000374721,0.335777,0.00100483,31.157,00:21
50,3,0,True,.4,0.000804132,0.000362568,0.435513,0.000887075,96.8007,00:23
50,3,0,False,.4,0.000804132,0.000362568,0.435513,0.000887075,96.8007,00:22
50,3,25,True,.3,0.000798055,0.000338262,0.467679,0.000851757,126.254,00:25
50,3,25,False,.3,0.000798055,0.000338262,0.467679,0.000851757,126.254,00:23
30,5,8,True,.1,0.000791979,0.000340288,0.350476,0.000998791,31.3599,00:19
30,5,8,False,.1,0.000791979,0.000340288,0.350476,0.000998791,31.3599,00:23
30,3,15,True,.1,0.000765647,0.000322058,0.349907,0.0009101,29.2773,00:20
30,3,15,False,.1,0.000765647,0.000322058,0.349907,0.0009101,29.2773,00:19
40,3,0,True,.3,0.000729188,0.000301803,0.429425,0.000803831,76.3516,00:18
40,3,0,False,.3,0.000729188,0.000301803,0.429425,0.000803831,76.3516,00:19
40,3,10,False,.2,0.000727162,0.000307879,0.386156,0.000841624,45.1936,00:20
40,3,10,True,.2,0.000727162,0.000307879,0.386156,0.000841624,45.1936,00:22
40,3,30,False,.1,0.00070083,0.000261292,0.379255,0.000778567,47.522,00:24
40,3,30,True,.1,0.00070083,0.000261292,0.379255,0.000778567,47.522,00:22
40,5,20,True,.1,0.000692728,0.00025319,0.376459,0.000782323,48.6788,00:21
40,5,20,False,.1,0.000692728,0.00025319,0.376459,0.000782323,48.6788,00:21
30,3,8,False,.2,0.000664371,0.000273445,0.404341,0.000785174,58.2242,00:22
30,3,8,True,.2,0.000664371,0.000273445,0.404341,0.000785174,58.2242,00:21
40,3,20,False,.2,0.000656269,0.000232935,0.421691,0.000709088,67.0598,00:21
40,3,20,True,.2,0.000656269,0.000232935,0.421691,0.000709088,67.0598,00:23
50,5,13,False,.2,0.000654243,0.000249139,0.404521,0.000742556,81.3002,00:23
50,5,13,True,.2,0.000654243,0.000249139,0.404521,0.000742556,81.3002,00:23
50,5,0,False,.3,0.000648167,0.000277496,0.458092,0.000749336,132.969,00:25
50,5,0,True,.3,0.000648167,0.000277496,0.458092,0.000749336,132.969,00:24
20,3,0,True,.1,0.000640065,0.000291675,0.316634,0.000939832,16.6467,00:18
20,3,0,False,.1,0.000640065,0.000291675,0.316634,0.000939832,16.6467,00:17
50,5,25,False,.2,0.000603605,0.000234961,0.427952,0.000705867,122.407,00:22
50,5,25,True,.2,0.000603605,0.000234961,0.427952,0.000705867,122.407,00:22
30,5,0,True,.1,0.000595503,0.000224833,0.320909,0.00074765,23.1841,00:18
30,5,0,False,.1,0.000595503,0.000224833,0.320909,0.00074765,23.1841,00:17
30,5,15,True,.1,0.000591452,0.000226858,0.386553,0.000705594,45.1594,00:20
30,5,15,False,.1,0.000591452,0.000226858,0.386553,0.000705594,45.1594,00:21
40,5,0,True,.2,0.00058335,0.000220782,0.401805,0.000694903,66.2416,00:18
40,5,0,False,.2,0.00058335,0.000220782,0.401805,0.000694903,66.2416,00:21
20,5,0,True,.1,0.000550942,0.000243063,0.336559,0.00080231,20.3794,00:18
20,5,0,False,.1,0.000550942,0.000243063,0.336559,0.00080231,20.3794,00:17
50,5,0,False,.4,0.00054284,0.000234961,0.487737,0.000632789,230.852,00:24
50,5,0,True,.4,0.00054284,0.000234961,0.487737,0.000632789,230.852,00:22
40,3,0,True,.4,0.000520559,0.000206603,0.455518,0.000614297,124.234,00:22
40,3,0,False,.4,0.000520559,0.000206603,0.455518,0.000614297,124.234,00:24
50,5,0,False,.5,0.000488151,0.000216731,0.503763,0.000572705,342.995,00:24
50,5,0,True,.5,0.000488151,0.000216731,0.503763,0.000572705,342.995,00:24
40,3,30,False,.2,0.000488151,0.00017622,0.463125,0.000564789,130.512,00:23
40,3,30,True,.2,0.000488151,0.00017622,0.463125,0.000564789,130.512,00:24
40,5,10,False,.2,0.0004841,0.000174195,0.420972,0.000634806,86.7278,00:23
40,5,10,True,.2,0.0004841,0.000174195,0.420972,0.000634806,86.7278,00:20
50,3,13,False,.4,0.000473972,0.00015394,0.463212,0.000517728,136.035,00:25
50,3,13,True,.4,0.000473972,0.00015394,0.463212,0.000517728,136.035,00:24
30,3,0,False,.2,0.000461819,0.000174195,0.382102,0.00058566,43.473,00:23
30,3,0,True,.2,0.000461819,0.000174195,0.382102,0.00058566,43.473,00:19
50,3,0,True,.5,0.000455742,0.000198501,0.467707,0.00055694,150.513,00:24
50,3,0,False,.5,0.000455742,0.000198501,0.467707,0.00055694,150.513,00:23
50,3,25,True,.4,0.000445615,0.000182297,0.495755,0.000541101,210.273,00:24
50,3,25,False,.4,0.000445615,0.000182297,0.495755,0.000541101,210.273,00:23
50,3,38,True,.2,0.000443589,0.000149889,0.440847,0.000535979,104.275,00:23
50,3,38,False,.2,0.000443589,0.000149889,0.440847,0.000535979,104.275,00:22
30,3,23,False,.1,0.00042536,0.000157991,0.418665,0.000523025,62.4645,00:23
30,3,23,True,.1,0.00042536,0.000157991,0.418665,0.000523025,62.4645,00:25
50,5,25,False,.3,0.000419283,0.000164067,0.503723,0.000484584,258.082,00:23
50,5,25,True,.3,0.000419283,0.000164067,0.503723,0.000484584,258.082,00:23
40,5,0,True,.3,0.000413206,0.00015394,0.464932,0.000499417,140.908,00:22
40,5,0,False,.3,0.000413206,0.00015394,0.464932,0.000499417,140.908,00:21
40,5,30,False,.1,0.000409155,0.000143812,0.44603,0.000510447,98.1074,00:24
40,5,30,True,.1,0.000409155,0.000143812,0.44603,0.000510447,98.1074,00:24
30,3,15,True,.2,0.000405104,0.000141787,0.431932,0.000509444,83.508,00:22
30,3,15,False,.2,0.000405104,0.000141787,0.431932,0.000509444,83.508,00:22
50,5,38,False,.1,0.000384849,0.000115455,0.424829,0.000485106,101.492,00:24
50,5,38,True,.1,0.000384849,0.000115455,0.424829,0.000485106,101.492,00:23
50,3,25,True,.5,0.000376747,0.000164067,0.500506,0.000470236,317.27,00:23
50,3,25,False,.5,0.000376747,0.000164067,0.500506,0.000470236,317.27,00:24
40,3,20,True,.3,0.00037067,0.000137735,0.485647,0.000449537,156.158,00:23
40,3,20,False,.3,0.00037067,0.000137735,0.485647,0.000449537,156.158,00:23
30,5,8,True,.2,0.000358517,0.00015394,0.430255,0.000493049,89.8266,00:26
30,5,8,False,.2,0.000358517,0.00015394,0.430255,0.000493049,89.8266,00:23
40,3,0,True,.5,0.00034839,0.000129633,0.471845,0.000442776,185.782,00:25
40,3,0,False,.5,0.00034839,0.000129633,0.471845,0.000442776,185.782,00:23
50,3,38,True,.3,0.000346364,0.000129633,0.50747,0.000423878,240.368,00:24
50,3,38,False,.3,0.000346364,0.000129633,0.50747,0.000423878,240.368,00:24
40,3,10,True,.3,0.000344339,0.000125582,0.458126,0.000462021,103.435,00:20
40,3,10,False,.3,0.000344339,0.000125582,0.458126,0.000462021,103.435,00:21
40,5,0,True,.4,0.000336237,0.000131659,0.49393,0.000421895,245.569,00:23
40,5,0,False,.4,0.000336237,0.000131659,0.49393,0.000421895,245.569,00:23
50,3,13,False,.5,0.000336237,0.000113429,0.471766,0.000408091,205.009,00:24
50,3,13,True,.5,0.000336237,0.000113429,0.471766,0.000408091,205.009,00:26
50,5,38,False,.2,0.000334211,0.000111404,0.476731,0.000407967,274.313,00:24
50,5,38,True,.2,0.000334211,0.000111404,0.476731,0.000407967,274.313,00:23
30,3,8,False,.3,0.000326109,0.000147863,0.465276,0.000465057,127.994,00:23
30,3,8,True,.3,0.000326109,0.000147863,0.465276,0.000465057,127.994,00:23
20,3,0,True,.2,0.000318007,0.000143812,0.414266,0.000477419,50.9348,00:16
20,3,0,False,.2,0.000318007,0.000143812,0.414266,0.000477419,50.9348,00:19
40,5,20,True,.2,0.000315981,9.92506e-05,0.449423,0.000414823,131.013,00:24
40,5,20,False,.2,0.000315981,9.92506e-05,0.449423,0.000414823,131.013,00:24
40,5,10,False,.3,0.000305854,0.000105327,0.489103,0.000406085,184.001,00:23
40,5,10,True,.3,0.000305854,0.000105327,0.489103,0.000406085,184.001,00:23
30,3,23,True,.2,0.000297752,0.00011748,0.472165,0.000383828,175.172,00:24
30,3,23,False,.2,0.000297752,0.00011748,0.472165,0.000383828,175.172,00:25
30,3,8,True,.4,0.000295726,0.000131659,0.479899,0.000407966,221.835,00:22
30,3,8,False,.4,0.000295726,0.000131659,0.479899,0.000407966,221.835,00:24
30,5,15,False,.2,0.000293701,9.92506e-05,0.453885,0.000402546,127.142,00:22
50,5,0,True,.6,0.000293701,0.000109378,0.513154,0.00038052,471.752,00:24
50,5,0,False,.6,0.000293701,0.000109378,0.513154,0.00038052,471.752,00:24
30,5,15,True,.2,0.000293701,9.92506e-05,0.453885,0.000402546,127.142,00:23
50,3,0,False,.6,0.00028965,0.000127608,0.500697,0.000398613,258.155,00:23
50,3,0,True,.6,0.00028965,0.000127608,0.500697,0.000398613,258.155,00:24
50,5,13,False,.3,0.000273445,7.49443e-05,0.48034,0.000389081,174.908,00:25
50,5,13,True,.3,0.000273445,7.49443e-05,0.48034,0.000389081,174.908,00:22
40,5,0,False,.5,0.00027142,0.000109378,0.507164,0.000365343,373.107,00:23
40,5,0,True,.5,0.00027142,0.000109378,0.507164,0.000365343,373.107,00:23
30,5,0,False,.2,0.00027142,8.70974e-05,0.412021,0.000400783,67.5214,00:21
30,5,0,True,.2,0.00027142,8.70974e-05,0.412021,0.000400783,67.5214,00:20
30,3,8,True,.5,0.000267369,0.000119506,0.47885,0.000372197,330.218,00:23
30,3,8,False,.5,0.000267369,0.000119506,0.47885,0.000372197,330.218,00:23
20,5,0,True,.2,0.000265343,0.000105327,0.431211,0.000406448,62.0952,00:36
20,5,0,False,.2,0.000265343,0.000105327,0.431211,0.000406448,62.0952,00:20
30,5,23,True,.1,0.000265343,9.51995e-05,0.448055,0.000380014,90.4952,00:22
30,5,23,False,.1,0.000265343,9.51995e-05,0.448055,0.000380014,90.4952,00:23
50,5,25,True,.4,0.000265343,9.92506e-05,0.522576,0.000347036,481.846,00:22
50,5,25,False,.4,0.000265343,9.92506e-05,0.522576,0.000347036,481.846,00:22
40,3,20,False,.4,0.000263318,9.3174e-05,0.50491,0.000345655,269.791,00:23
50,3,38,False,.4,0.000263318,8.50719e-05,0.52475,0.00033774,414.074,00:22
40,3,20,True,.4,0.000263318,9.3174e-05,0.50491,0.000345655,269.791,00:23
50,3,38,True,.4,0.000263318,8.50719e-05,0.52475,0.00033774,414.074,00:21
50,3,25,True,.6,0.000261292,0.000105327,0.501829,0.000346658,488.078,00:23
50,3,25,False,.6,0.000261292,0.000105327,0.501829,0.000346658,488.078,00:24
30,3,15,False,.3,0.000257241,9.7225e-05,0.476814,0.000360017,181.783,00:24
30,3,15,True,.3,0.000257241,9.7225e-05,0.476814,0.000360017,181.783,00:24
50,3,0,False,.7,0.000255216,9.92506e-05,0.500425,0.000354062,385.441,00:24
50,3,0,True,.7,0.000255216,9.92506e-05,0.500425,0.000354062,385.441,00:23
40,3,20,True,.5,0.000249139,9.11485e-05,0.507217,0.000333605,397.997,00:23
40,3,20,False,.5,0.000249139,9.11485e-05,0.507217,0.000333605,397.997,00:23
40,5,20,False,.3,0.000247114,7.69698e-05,0.504401,0.000334486,271.816,00:24
40,5,20,True,.3,0.000247114,7.69698e-05,0.504401,0.000334486,271.816,00:24
40,5,10,True,.4,0.000247114,8.70974e-05,0.515175,0.000342686,333.24,00:25
40,5,10,False,.4,0.000247114,8.70974e-05,0.515175,0.000342686,333.24,00:24
30,3,0,False,.3,0.000243063,8.30464e-05,0.44495,0.000366906,93.6765,00:23
30,3,0,True,.3,0.000243063,8.30464e-05,0.44495,0.000366906,93.6765,00:21
40,3,10,True,.4,0.000241037,7.89953e-05,0.483079,0.000362647,173.636,00:24
40,3,10,False,.4,0.000241037,7.89953e-05,0.483079,0.000362647,173.636,00:24
50,5,25,False,.5,0.000232935,9.3174e-05,0.522718,0.000330784,747.653,00:22
50,5,25,True,.5,0.000232935,9.3174e-05,0.522718,0.000330784,747.653,00:22
30,3,23,False,.3,0.000228884,8.10209e-05,0.492218,0.000313024,347.851,00:23
30,3,23,True,.3,0.000228884,8.10209e-05,0.492218,0.000313024,347.851,00:24
50,5,13,False,.4,0.000226858,7.29188e-05,0.5084,0.00032775,319.166,00:24
40,3,30,False,.3,0.000226858,7.89953e-05,0.515167,0.000321925,279.375,00:23
40,3,30,True,.3,0.000226858,7.89953e-05,0.515167,0.000321925,279.375,00:23
50,5,13,True,.4,0.000226858,7.29188e-05,0.5084,0.00032775,319.166,00:23
50,5,25,True,.6,0.000216731,7.08933e-05,0.520182,0.000309233,1042.95,00:22
50,5,25,False,.6,0.000216731,7.08933e-05,0.520182,0.000309233,1042.95,00:22
30,5,8,True,.3,0.000214705,6.48167e-05,0.484772,0.000317354,182.523,00:23
30,5,8,False,.3,0.000214705,6.48167e-05,0.484772,0.000317354,182.523,00:23
50,5,38,False,.3,0.000210654,7.08933e-05,0.516374,0.000312032,515.472,00:24
